show,showLen,showStops,showSegues,showEncore,showBereakout,showSets,showSetsAcustic,showSetsElectric,set1Len,set1Stops,set1Segues,set1Breakouts,set2Len,set3Stops,set2Segues,set2Breakouts,set3Len,set3Stops,set3Segues,set3Breakouts,showType,linup,guests
346,4,4,0,0,65,1,0,0,4,4,0,65,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
347,1,1,0,0,15,1,0,0,1,1,0,15,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
348,7,5,2,0,57,1,0,0,7,5,2,57,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
2318,21,12,9,1,340,2,0,0,8,8,0,112,13,4,9,228,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2319,17,11,6,1,112,2,0,0,7,7,0,61,10,4,6,51,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2316,19,11,8,1,66,2,0,0,8,8,0,35,11,3,8,31,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, Ornette Coleman (sax) Airto Moreira  Flora Purim  (vocals)  Ornette Coleman (sax),
2317,17,10,7,1,92,2,0,0,7,7,0,45,10,3,7,47,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, Branford Marsalis (saxophone),
2314,19,10,9,1,236,2,0,0,8,7,1,144,11,3,8,92,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2315,21,13,8,1,1588,2,0,0,10,8,2,1550,11,5,6,38,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2312,18,10,8,1,115,2,0,0,7,7,0,36,11,3,8,79,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2313,19,14,5,1,140,2,0,0,8,8,0,60,11,6,5,80,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2310,19,10,9,1,160,2,0,0,7,7,0,81,12,3,9,79,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2311,18,11,7,1,156,2,0,0,9,8,1,107,9,3,6,49,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
296,3,3,0,0,21,1,0,0,3,3,0,21,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
295,3,3,0,0,27,1,0,0,3,3,0,27,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
272,7,6,1,0,88,1,0,0,7,6,1,88,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
277,3,2,1,0,34,1,0,0,3,2,1,34,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
278,1,1,0,0,6,1,0,0,1,1,0,6,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
2268,18,12,6,1,50,2,0,0,7,7,0,23,11,5,6,27,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2269,16,8,8,1,79,2,0,0,6,6,0,25,10,2,8,54,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2262,19,13,6,1,133,2,0,0,8,8,0,86,11,5,6,47,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2263,17,11,6,1,136,2,0,0,6,6,0,47,11,5,6,89,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2260,20,14,6,1,214,2,0,0,9,9,0,85,11,5,6,129,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2261,19,14,5,1,207,2,0,0,7,7,0,95,12,7,5,112,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2266,19,12,7,1,168,2,0,0,8,8,0,121,11,4,7,47,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, Baba Olatunji (percussion),
2267,18,12,6,1,126,2,0,0,8,8,0,63,10,4,6,63,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2264,18,12,6,1,134,2,0,0,8,8,0,72,10,4,6,62,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2265,19,9,10,1,157,2,0,0,8,5,3,83,11,4,7,74,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2442,20,13,7,1,152,2,0,0,8,7,1,81,12,6,6,71,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2443,17,11,6,1,443,2,0,0,6,6,0,65,11,5,6,378,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2440,20,12,8,1,56,2,0,0,8,8,0,24,12,4,8,32,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2441,18,11,7,1,82,2,0,0,6,6,0,35,12,5,7,47,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2446,19,12,7,1,168,2,0,0,7,6,1,63,12,6,6,105,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,Bruce Hornsby (piano),
2447,19,11,8,1,154,2,0,0,8,7,1,60,11,4,7,94,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2444,19,10,9,1,221,2,0,0,6,6,0,119,13,4,9,102,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2445,17,12,5,1,381,2,0,0,7,7,0,48,10,5,5,333,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,Bruce Hornsby (piano),
2448,18,12,6,1,245,2,0,0,7,7,0,155,11,5,6,90,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2449,17,12,5,1,246,2,0,0,7,7,0,63,10,5,5,183,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
103,10,10,0,0,104,2,0,0,7,7,0,82,3,3,0,22,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
100,2,2,0,0,22,1,0,0,2,2,0,22,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
101,7,7,0,0,113,1,0,0,7,7,0,113,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
2046,20,9,11,1,606,2,0,0,9,7,2,127,11,2,9,479,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
2047,20,12,8,1,161,2,0,0,8,8,0,84,12,4,8,77,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
